raceid,year,week,venue,type,date,division,combined,regatta,race,numsailors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,f12/,Week 9,Coast Guard,NOT ALLOWED  Interconference,10/27/2012,1,False,nickerson,1,17,"[""Connor Corgard '16"", ""Breanne Baldino '16""]","[""Maximiliano Agnese '16"", ""Riley Calhoun '16""]","[""Bryce Kopp '16"", ""Emily Vasiliou '16""]","[""James Moody '16"", ""Samantha Fine '16""]","[""James Barry '16"", ""Courtney Bergh '16""]","[""Christian Houston-Floyd '16"", ""Tess Lameyer '16""]","[""Megan Yeigh '16"", ""John Ring '16""]","[""Andrew Britton '16"", ""Taylor Peace '16""]","[""John Cappetta '16"", ""Michela Moscufo '16""]","[""Thomas Etheridge '16"", ""Taylor Landeryou '16""]","[""Elise Gehling '17"", ""Linnea Goldstein '16""]","[""Ryan Astwood '16"", ""Margaret Swanson '16""]","[""Axel Sly '16"", ""Samantha Steele '16""]","[""Ian White '16"", ""Chris Dawson '16""]","[""Evan Olson '16"", ""Katelynd Sperry '16""]","[""Catherine Walsh '16"", ""Deren Ertas '16""]","[""Anthony Lowther '14"", ""Maddy Crowley '16""]"
2,f12/,Week 9,Coast Guard,NOT ALLOWED  Interconference,10/27/2012,1,False,nickerson,2,17,"[""Ryan Astwood '16"", ""Margaret Swanson '16""]","[""Connor Corgard '16"", ""Breanne Baldino '16""]","[""James Moody '16"", ""Samantha Fine '16""]","[""Axel Sly '16"", ""Samantha Steele '16""]","[""Megan Yeigh '16"", ""John Ring '16""]","[""Bryce Kopp '16"", ""Emily Vasiliou '16""]","[""Elise Gehling '17"", ""Linnea Goldstein '16""]","[""Andrew Britton '16"", ""Taylor Peace '16""]","[""Christian Houston-Floyd '16"", ""Tess Lameyer '16""]","[""Ian White '16"", ""Chris Dawson '16""]","[""John Cappetta '16"", ""Michela Moscufo '16""]","[""Maximiliano Agnese '16"", ""Riley Calhoun '16""]","[""Thomas Etheridge '16"", ""Taylor Landeryou '16""]","[""James Barry '16"", ""Courtney Bergh '16""]","[""Evan Olson '16"", ""Katelynd Sperry '16""]","[""Anthony Lowther '14"", ""Maddy Crowley '16""]","[""Catherine Walsh '16"", ""Deren Ertas '16""]"
3,f12/,Week 9,Coast Guard,NOT ALLOWED  Interconference,10/27/2012,1,False,nickerson,3,17,"[""Maximiliano Agnese '16"", ""Riley Calhoun '16""]","[""Elise Gehling '17"", ""Linnea Goldstein '16""]","[""Axel Sly '16"", ""Samantha Steele '16""]","[""Ian White '16"", ""Chris Dawson '16""]","[""Megan Yeigh '16"", ""John Ring '16""]","[""James Moody '16"", ""Samantha Fine '16""]","[""Connor Corgard '16"", ""Breanne Baldino '16""]","[""John Cappetta '16"", ""Michela Moscufo '16""]","[""Ryan Astwood '16"", ""Margaret Swanson '16""]","[""Evan Olson '16"", ""Katelynd Sperry '16""]","[""Bryce Kopp '16"", ""Emily Vasiliou '16""]","[""Andrew Britton '16"", ""Taylor Peace '16""]","[""James Barry '16"", ""Courtney Bergh '16""]","[""Anthony Lowther '14"", ""Maddy Crowley '16""]","[""Thomas Etheridge '16"", ""Taylor Landeryou '16""]","[""Christian Houston-Floyd '16"", ""Tess Lameyer '16""]","[""Catherine Walsh '16"", ""Deren Ertas '16""]"
4,f12/,Week 9,Coast Guard,NOT ALLOWED  Interconference,10/27/2012,1,False,nickerson,4,17,"[""Connor Corgard '16"", ""Breanne Baldino '16""]","[""Maximiliano Agnese '16"", ""Riley Calhoun '16""]","[""Megan Yeigh '16"", ""John Ring '16""]","[""Bryce Kopp '16"", ""Emily Vasiliou '16""]","[""Ian White '16"", ""Chris Dawson '16""]","[""James Barry '16"", ""Courtney Bergh '16""]","[""Axel Sly '16"", ""Samantha Steele '16""]","[""Elise Gehling '17"", ""Linnea Goldstein '16""]","[""Andrew Britton '16"", ""Taylor Peace '16""]","[""John Cappetta '16"", ""Michela Moscufo '16""]","[""Ryan Astwood '16"", ""Margaret Swanson '16""]","[""Thomas Etheridge '16"", ""Taylor Landeryou '16""]","[""Evan Olson '16"", ""Katelynd Sperry '16""]","[""Catherine Walsh '16"", ""Deren Ertas '16""]","[""James Moody '16"", ""Samantha Fine '16""]","[""Christian Houston-Floyd '16"", ""Tess Lameyer '16""]","[""Anthony Lowther '14"", ""Maddy Crowley '16""]"
5,f12/,Week 9,Coast Guard,NOT ALLOWED  Interconference,10/27/2012,1,False,nickerson,5,17,"[""Axel Sly '16"", ""Samantha Steele '16""]","[""Ian White '16"", ""Chris Dawson '16""]","[""Maximiliano Agnese '16"", ""Riley Calhoun '16""]","[""Megan Yeigh '16"", ""John Ring '16""]","[""Bryce Kopp '16"", ""Emily Vasiliou '16""]","[""Ryan Astwood '16"", ""Margaret Swanson '16""]","[""James Barry '16"", ""Courtney Bergh '16""]","[""Christian Houston-Floyd '16"", ""Tess Lameyer '16""]","[""James Moody '16"", ""Samantha Fine '16""]","[""Connor Corgard '16"", ""Breanne Baldino '16""]","[""John Cappetta '16"", ""Michela Moscufo '16""]","[""Elise Gehling '17"", ""Linnea Goldstein '16""]","[""Andrew Britton '16"", ""Taylor Peace '16""]","[""Thomas Etheridge '16"", ""Taylor Landeryou '16""]","[""Anthony Lowther '14"", ""Maddy Crowley '16""]","[""Evan Olson '16"", ""Katelynd Sperry '16""]","[""Catherine Walsh '16"", ""Deren Ertas '16""]"
6,f12/,Week 9,Coast Guard,NOT ALLOWED  Interconference,10/27/2012,1,False,nickerson,6,17,"[""Ian White '16"", ""Chris Dawson '16""]","[""Maximiliano Agnese '16"", ""Riley Calhoun '16""]","[""Axel Sly '16"", ""Samantha Steele '16""]","[""Megan Yeigh '16"", ""John Ring '16""]","[""Ryan Astwood '16"", ""Margaret Swanson '16""]","[""James Barry '16"", ""Courtney Bergh '16""]","[""Elise Gehling '17"", ""Linnea Goldstein '16""]","[""Bryce Kopp '16"", ""Emily Vasiliou '16""]","[""Andrew Britton '16"", ""Taylor Peace '16""]","[""James Moody '16"", ""Samantha Fine '16""]","[""Christian Houston-Floyd '16"", ""Tess Lameyer '16""]","[""Evan Olson '16"", ""Katelynd Sperry '16""]","[""Connor Corgard '16"", ""Breanne Baldino '16""]","[""John Cappetta '16"", ""Michela Moscufo '16""]","[""Thomas Etheridge '16"", ""Taylor Landeryou '16""]","[""Anthony Lowther '14"", ""Maddy Crowley '16""]","[""Catherine Walsh '16"", ""Deren Ertas '16""]"
7,f12/,Week 9,Coast Guard,NOT ALLOWED  Interconference,10/27/2012,1,False,nickerson,7,17,"[""Bryce Kopp '16"", ""Emily Vasiliou '16""]","[""Connor Corgard '16"", ""Breanne Baldino '16""]","[""Andrew Britton '16"", ""Taylor Peace '16""]","[""Megan Yeigh '16"", ""John Ring '16""]","[""Maximiliano Agnese '16"", ""Riley Calhoun '16""]","[""Ryan Astwood '16"", ""Margaret Swanson '16""]","[""Axel Sly '16"", ""Samantha Steele '16""]","[""James Barry '16"", ""Courtney Bergh '16""]","[""Christian Houston-Floyd '16"", ""Tess Lameyer '16""]","[""John Cappetta '16"", ""Michela Moscufo '16""]","[""Ian White '16"", ""Chris Dawson '16""]","[""James Moody '16"", ""Samantha Fine '16""]","[""Elise Gehling '17"", ""Linnea Goldstein '16""]","[""Thomas Etheridge '16"", ""Taylor Landeryou '16""]","[""Evan Olson '16"", ""Katelynd Sperry '16""]","[""Anthony Lowther '14"", ""Maddy Crowley '16""]","[""Catherine Walsh '16"", ""Deren Ertas '16""]"
8,f12/,Week 9,Coast Guard,NOT ALLOWED  Interconference,10/27/2012,1,False,nickerson,8,16,"[""Maximiliano Agnese '16"", ""Riley Calhoun '16""]","[""Connor Corgard '16"", ""Breanne Baldino '16""]","[""Ryan Astwood '16"", ""Margaret Swanson '16""]","[""James Barry '16"", ""Courtney Bergh '16""]","[""James Moody '16"", ""Kate Wasynczuk '16""]","[""Axel Sly '16"", ""Noelle Herring '16""]","[""Megan Yeigh '16"", ""John Ring '16""]","[""Christian Houston-Floyd '16"", ""Tess Lameyer '16""]","[""Evan Olson '16"", ""Katelynd Sperry '16""]","[""Bryce Kopp '16"", ""Emily Vasiliou '16""]","[""Thomas Etheridge '16"", ""Evan Vowell '16""]","[""John Cappetta '16"", ""Michela Moscufo '16""]","[""Elise Gehling '17"", ""Linnea Goldstein '16""]","[""Ian White '16"", ""Chris Dawson '16""]","[""Matthew Orgill '16"", ""Karisa Maurer '16""]","[""Anthony Lowther '14"", ""Maddy Crowley '16""]"
9,f12/,Week 9,Coast Guard,NOT ALLOWED  Interconference,10/27/2012,1,False,nickerson,9,16,"[""Connor Corgard '16"", ""Breanne Baldino '16""]","[""Megan Yeigh '16"", ""John Ring '16""]","[""Bryce Kopp '16"", ""Emily Vasiliou '16""]","[""Ryan Astwood '16"", ""Margaret Swanson '16""]","[""Maximiliano Agnese '16"", ""Riley Calhoun '16""]","[""James Moody '16"", ""Kate Wasynczuk '16""]","[""James Barry '16"", ""Courtney Bergh '16""]","[""Ian White '16"", ""Chris Dawson '16""]","[""Christian Houston-Floyd '16"", ""Tess Lameyer '16""]","[""Elise Gehling '17"", ""Linnea Goldstein '16""]","[""Anthony Lowther '14"", ""Maddy Crowley '16""]","[""Evan Olson '16"", ""Katelynd Sperry '16""]","[""Thomas Etheridge '16"", ""Evan Vowell '16""]","[""Axel Sly '16"", ""Noelle Herring '16""]","[""John Cappetta '16"", ""Michela Moscufo '16""]","[""Matthew Orgill '16"", ""Karisa Maurer '16""]"
10,f12/,Week 9,Coast Guard,NOT ALLOWED  Interconference,10/27/2012,1,False,nickerson,10,16,"[""James Barry '16"", ""Courtney Bergh '16""]","[""Ryan Astwood '16"", ""Margaret Swanson '16""]","[""Axel Sly '16"", ""Noelle Herring '16""]","[""Connor Corgard '16"", ""Breanne Baldino '16""]","[""Bryce Kopp '16"", ""Emily Vasiliou '16""]","[""Maximiliano Agnese '16"", ""Riley Calhoun '16""]","[""Christian Houston-Floyd '16"", ""Tess Lameyer '16""]","[""Elise Gehling '17"", ""Linnea Goldstein '16""]","[""James Moody '16"", ""Kate Wasynczuk '16""]","[""John Cappetta '16"", ""Michela Moscufo '16""]","[""Ian White '16"", ""Chris Dawson '16""]","[""Megan Yeigh '16"", ""John Ring '16""]","[""Thomas Etheridge '16"", ""Evan Vowell '16""]","[""Evan Olson '16"", ""Katelynd Sperry '16""]","[""Matthew Orgill '16"", ""Karisa Maurer '16""]","[""Anthony Lowther '14"", ""Maddy Crowley '16""]"
