Week 18,rose-bowl,Rose Bowl,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/02/2016,Official,f15/
Week 18,rose-bowl,Rose Bowl Regatta,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/03/2015,Official,f14/
Week 18,rose-bowl,Rose Bowl Regatta,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/04/2014,Official,f13/
Week 18,2020-rose-bowl,2020 Rose Bowl - College,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/04/2020,Official,f19/
Week 19,rose-bowl-regatta,Rose Bowl Regatta,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/05/2013,Official,f12/
Week 19,2019-rose-bowl,2019 Rose Bowl Regatta,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/05/2019,Official,f18/
Week 19,rose-bowl-2018,Rose Bowl Regatta 2018,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/06/2018,Official,f17/
Week 19,2024-rose-bowl,2024 Rose Bowl Regatta,Southern Cal,Cross Regional,2 Divisions,01/06/2024,Official,f23/
Week 19,rose-bowl-2012,Rose Bowl 2012,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/07/2012,Official,f11/
Week 19,rose-bowl-backup,Rose Bowl,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/07/2017,In progress: 3B,f16/
Week 19,2023-rose-bowl,2023 Rose Bowl Regatta - College,Southern Cal,Cross Regional,2 Divisions,01/07/2023,In progress: 6B,f22/
Week 19,u-s-c-rose-bowl,26th U S C Rose Bowl,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/08/2011,Official,f10/
Week 19,2022-rose-bowl,2022 Rose Bowl Regatta,Southern Cal,NOT ALLOWED  Promotional,2 Divisions,01/08/2022,Official,f21/
Preweek 3,peter-wenner-rainbow-invitational,Peter Wenner Rainbow Invitational,Hawaii,NOT ALLOWED  In-Conference,2 Divisions,01/14/2023,Official,s23/
Preweek 3,andrew-johnson,Peter Wenner Rainbow Invite,Hawaii,Regional,2 Divisions,01/15/2022,Official,s22/
Preweek 3,peter-wenner-rainbow-invite,Peter Wenner Rainbow Invite,Hawaii,NOT ALLOWED  Promotional,2 Divisions,01/16/2016,Official,s16/
Preweek 3,pj-wenner-rainbow-invite-2015,PJ Wenner Memorial Rainbow Invite,Hawaii,NOT ALLOWED  Promotional,2 Divisions,01/17/2015,Official,s15/
Preweek 2,peter-wenner-invitational,Peter Wenner Invitational,Hawaii,NOT ALLOWED  Promotional,2 Divisions,01/18/2014,Official,s14/
Preweek 2,peter-wenner-rainbow-invite,Peter Wenner Rainbow Invite,Hawaii,NOT ALLOWED  Promotional,2 Divisions,01/18/2020,Official,s20/
Preweek 2,pj-wenner-rainbow-invite,PJ Wenner Rainbow Invite,Hawaii,NOT ALLOWED  Promotional,2 Divisions,01/19/2013,Official,s13/
Preweek 2,peter-wenner-rainbow-invite,Peter Wenner Rainbow Invite,Hawaii,NOT ALLOWED  Promotional,2 Divisions,01/19/2019,Official,s19/
Preweek 2,peter-wenner-rainbow-invite,Peter Wenner Rainbow Invite,Hawaii,NOT ALLOWED  Interconference,2 Divisions,01/20/2018,Official,s18/
Preweek 2,peter-wenner-rainbow-invite,Peter Wenner Rainbow Invite,Hawaii,Regional,2 Divisions,01/20/2024,Official,s24/
Preweek 2,pj-wenner-rainbow-invite,PJ Wenner Rainbow Invite,Hawaii,NOT ALLOWED  In-Conference,2 Divisions,01/21/2012,Official,s12/
Preweek 2,peter-wenner-rainbow-invite,Peter Wenner Rainbow Invite,Hawaii,NOT ALLOWED  Promotional,2 Divisions,01/21/2017,Official,s17/
Preweek 2,peter-wenner-rainbow-invite,Peter Wenner Rainbow Invite,Hawaii,NOT ALLOWED  Promotional,2 Divisions,01/22/2011,Official,s11/
Preweek 2,jeff-simon,Jeff Simon Memorial Regatta,UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/23/2016,Official,s16/
Preweek 2,jeff-simon,Jeff Simon Memorial Regatta,UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/24/2015,Official,s15/
Preweek 1,jeff-simon-south-1,"Jeff Simon, South 1",UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/25/2014,Official,s14/
Preweek 1,q1,Qualifier 1,Texas,NOT ALLOWED  In-Conference,2 Divisions,01/25/2014,Official,s14/
Preweek 1,jeff-simon-varsity,Jeff Simon Memorial Regatta,UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/25/2020,Official,s20/
Preweek 1,seisa-qualifier-1,SEISA Qualifier 1,Texas,NOT ALLOWED  In-Conference,2 Divisions,01/26/2013,Official,s13/
Preweek 1,jeff-simon-memorial-regatta-south-1,Jeff Simon Memorial Regatta South 1,UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/26/2013,Official,s13/
Preweek 1,jeff-simon-south-2,"Jeff Simon, South 2",UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/26/2014,Official,s14/
Preweek 1,gaucho-team-race,Gaucho Team Race,UC Santa Barbara,NOT ALLOWED  Two-Conference,Team,01/26/2019,Official,s19/
Preweek 1,q1-regatta,Q1 Regatta,Texas,NOT ALLOWED  In-Conference,2 Divisions,01/26/2019,Official,s19/
Preweek 1,seisa-clinegatta,SEISA Clinegatta,Texas,NOT ALLOWED  In-Conference,Team,01/26/2020,Official,s20/
Preweek 1,jeff-simon-memorial-regatta-south-2,Jeff Simon Memorial Regatta South 2,UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/27/2013,Official,s13/
Preweek 1,qualifier,Qualifier 1,Texas,NOT ALLOWED  In-Conference,2 Divisions,01/27/2018,Official,s18/
Preweek 1,gaucho-team-race,Gaucho Team Race,UC Santa Barbara,NOT ALLOWED  In-Conference,Team,01/27/2018,Official,s18/
Preweek 1,jeff-simon-women,Jeff Simon Memorial Regatta- Women's,UC San Diego,Fundamental,2 Divisions,01/27/2024,Official,s24/
Preweek 1,jeff-simon-open,Jeff Simon Memorial Regatta - Open,UC San Diego,Fundamental,2 Divisions,01/27/2024,Official,s24/
Preweek 1,seisa-qualifier-1,SEISA Qualifier 1,Texas,NOT ALLOWED  In-Conference,2 Divisions,01/28/2012,Official,s12/
Preweek 1,south-1,South 1,UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/28/2012,Official,s12/
Preweek 1,qualifier,Qualifier 1,Texas,NOT ALLOWED  In-Conference,2 Divisions,01/28/2017,Official,s17/
Preweek 1,simon-women,Jeff Simon Memorial - Women's 2,UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/28/2023,Official,s23/
Preweek 1,jeff-simon-women,Jeff Simon Memorial - Women's 1,UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/28/2023,Official,s23/
Preweek 1,jeff-simon-open,Jeff Simon Memorial - Open,UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/28/2023,Official,s23/
Preweek 1,jeff-simon-women-20,Jeff Simon Memorial Regatta - Women's 2.0,UC San Diego,Fundamental,2 Divisions,01/28/2024,Official,s24/
Preweek 1,qualifier-1,Qualifier 1,Texas,NOT ALLOWED  In-Conference,2 Divisions,01/29/2011,Official,s11/
Preweek 1,south-2-jeff-simon-memorial-regatta,South 2-Jeff Simon Memorial Regatta,UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/29/2012,Official,s12/
Preweek 1,jeff-simon-coed,Jeff Simon Open,UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/29/2022,Official,s22/
Preweek 1,jeff-simon-women,Jeff Simon Women's 1,UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/29/2022,Official,s22/
Preweek 1,seisa-qualifier,SEISA Qualifier 1,Texas,NOT ALLOWED  In-Conference,2 Divisions,01/30/2016,Official,s16/
Preweek 1,jeff-simon-women-sunday,Jeff Simon Women's 2,UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/30/2022,Official,s22/
Preweek 1,qualifier,Qualifier 1,Texas,NOT ALLOWED  In-Conference,2 Divisions,01/31/2015,Official,s15/
Week 1,harris-kempner,Harris Kempner,Texas A&M Galveston,NOT ALLOWED  Interconference,2 Divisions,02/01/2014,Official,s14/
Week 1,gaucho-team-race,Gaucho Team Race,UC Santa Barbara,NOT ALLOWED  Promotional,Team,02/01/2020,Official,s20/
Week 1,embry-riddle-spring-invitational,Embry Riddle Fleet Race,Embry-Riddle,NOT ALLOWED  In-Conference,2 Divisions,02/01/2020,Official,s20/
Week 1,harris-kempner,Harris Kempner,Texas A&M Galveston,NOT ALLOWED  Interconference,2 Divisions,02/02/2013,Official,s13/
Week 1,jeff-simon,Jeff Simon Memorial Regatta,UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,02/03/2018,Official,s18/
Week 1,jeff-mixdorf,Jeff Mixdorf,Western Washington,NOT ALLOWED  In-Conference,Team,02/03/2019,Official,s19/
Week 1,q1-regatta,Q1 Regatta,Texas,Fundamental,Team,02/03/2024,Official,s24/
Week 1,mustang-team-race,Mustang Team Race,Cal Poly,Fundamental,Team,02/03/2024,Official,s24/
Week 1,jeff-simon,Jeff Simon Memorial Regatta,UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,02/04/2017,Official,s17/
Week 1,q1-reagatta,Q1 Regatta,Texas,NOT ALLOWED  In-Conference,Team,02/04/2023,Official,s23/
Week 1,jeff-mixdorf,Jeff Mixdorf,Western Washington,NOT ALLOWED  In-Conference,2 Divisions,02/05/2011,Official,s11/
Week 1,garner-tullis,Garner Tullis,Tulane,NOT ALLOWED  In-Conference,2 Divisions,02/05/2011,Official,s11/
Week 1,harris-l-kempner,Harris L. Kempner,Texas A&M Galveston,NOT ALLOWED  Interconference,2 Divisions,02/06/2010,Official,s10/
Week 1,harris-kempner,Harris Kempner Memorial Regatta,Texas A&M Galveston,NOT ALLOWED  Interconference,2 Divisions,02/06/2016,Official,s16/
Week 1,jeff-mixdorf-alpha-worlds,Jeff Mixdorf Alpha Worlds,Western Washington,NOT ALLOWED  In-Conference,1 Division,02/06/2016,Official,s16/
Week 1,north-1,North #1,Stanford,NOT ALLOWED  In-Conference,2 Divisions,02/07/2010,Official,s10/
Week 1,harris-kempner,Harris Kempner Memorial Regatta,Texas A&M Galveston,NOT ALLOWED  Interconference,2 Divisions,02/07/2015,Official,s15/
Week 1,mustang-open,Mustang Open,Cal Poly,NOT ALLOWED  In-Conference,2 Divisions,02/07/2015,Official,s15/
Week 2,scor,SCOR,Charleston,NOT ALLOWED  Promotional,1 Division,02/08/2014,Official,s14/
